"release","date","author","status","maturity","version","first","distribution","abstract"
"Locale-CLDR-Locales-Yav-v0.40.0-_1","2024-01-01T00:00:56","JGNI","backpan","released","v0.40.0","","Locale-CLDR-Locales-Yav","Locale::CLDR - Data Package ( Perl localization data for Yangben )"
"Locale-CLDR-Locales-Yi-v0.40.0-_1","2024-01-01T00:00:57","JGNI","backpan","released","v0.40.0","","Locale-CLDR-Locales-Yi","Locale::CLDR - Data Package ( Perl localization data for Yiddish )"
"Locale-CLDR-Locales-Yo-v0.40.0-_1","2024-01-01T00:02:23","JGNI","backpan","released","v0.40.0","","Locale-CLDR-Locales-Yo","Locale::CLDR - Data Package ( Perl localization data for Yoruba )"
"Locale-CLDR-Locales-Yrl-v0.40.0-_1","2024-01-01T00:03:42","JGNI","backpan","released","v0.40.0","1","Locale-CLDR-Locales-Yrl","Locale::CLDR - Data Package ( Perl localization data for Nheengatu )"
"Game-Deckar-0.02","2024-01-01T00:03:53","JMATES","latest","released","0.02","","Game-Deckar","a module for wrangling decks of cards"
"Locale-CLDR-Locales-Yue-v0.40.0-_1","2024-01-01T00:05:19","JGNI","backpan","released","v0.40.0","","Locale-CLDR-Locales-Yue","Locale::CLDR - Data Package ( Perl localization data for Cantonese )"
"Locale-CLDR-Locales-Zgh-v0.40.0-_1","2024-01-01T00:05:20","JGNI","backpan","released","v0.40.0","","Locale-CLDR-Locales-Zgh","Locale::CLDR - Data Package ( Perl localization data for Standard Moroccan Tamazight )"
"Sah-Schemas-Re-0.004","2024-01-01T00:05:31","PERLANCAR","cpan","released","0.004","","Sah-Schemas-Re","Various regular-expression schemas"
"Locale-CLDR-Locales-Zh-v0.40.0-_1","2024-01-01T00:06:52","JGNI","backpan","released","v0.40.0","","Locale-CLDR-Locales-Zh","Locale::CLDR - Data Package ( Perl localization data for Chinese )"
"Locale-CLDR-Locales-Zu-v0.40.0-_1","2024-01-01T00:07:10","JGNI","backpan","released","v0.40.0","","Locale-CLDR-Locales-Zu","Locale::CLDR - Data Package ( Perl localization data for Zulu )"
"TableData-Perl-CPAN-Release-Static-2023-20240101.0","2024-01-01T01:12:38","PERLANCAR","latest","released","20240101.0","","TableData-Perl-CPAN-Release-Static-2023","CPAN releases for the year 2023"
"TableData-Perl-CPAN-Release-Static-2024-20240101.0","2024-01-01T01:25:28","PERLANCAR","latest","released","20240101.0","","TableData-Perl-CPAN-Release-Static-2024","CPAN releases for the year 2024"
"Acme-CPANAuthorsBundle-CPAN-Streaks-20240101.0","2024-01-01T01:42:04","PERLANCAR","latest","released","20240101.0","","Acme-CPANAuthorsBundle-CPAN-Streaks","A collection of Acme::CPANAuthors::CPAN::Streaks::* modules"
"Tcl-Tk-Tkwidget-treectrl-2.4.2.4","2024-01-01T08:54:34","VKON","backpan","released","v2.4.2.4","1","Tcl-Tk-Tkwidget-treectrl",""
"Bundle-Locale-CLDR-Unitednations-0.40.0-_1","2024-01-01T09:53:48","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Unitednations","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Europeanunion-0.40.0-_1","2024-01-01T09:55:14","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Europeanunion","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Eurozone-0.40.0-_1","2024-01-01T09:56:44","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Eurozone","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Northamerica-0.40.0-_1","2024-01-01T09:58:10","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Northamerica","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Northernamerica-0.40.0-_1","2024-01-01T09:58:11","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Northernamerica","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Centralamerica-0.40.0-_1","2024-01-01T09:59:38","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Centralamerica","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Latinamerica-0.40.0-_1","2024-01-01T10:01:07","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Latinamerica","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Southamerica-0.40.0-_1","2024-01-01T10:01:18","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Southamerica","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Caribbean-0.40.0-_1","2024-01-01T10:02:44","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Caribbean","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Americas-0.40.0-_1","2024-01-01T10:04:13","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Americas","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Micronesianregion-0.40.0-_1","2024-01-01T10:04:24","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Micronesianregion","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Outlyingoceania-0.40.0-_1","2024-01-01T10:05:51","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Outlyingoceania","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Australasia-0.40.0-_1","2024-01-01T10:07:07","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Australasia","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Polynesia-0.40.0-_1","2024-01-01T10:07:18","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Polynesia","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Melanesia-0.40.0-_1","2024-01-01T10:08:35","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Melanesia","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Oceania-0.40.0-_1","2024-01-01T10:09:54","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Oceania","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Northerneurope-0.40.0-_1","2024-01-01T10:11:20","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Northerneurope","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Southerneurope-0.40.0-_1","2024-01-01T10:11:31","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Southerneurope","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Westerneurope-0.40.0-_1","2024-01-01T10:12:48","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Westerneurope","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Easterneurope-0.40.0-_1","2024-01-01T10:14:04","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Easterneurope","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Europe-0.40.0-_1","2024-01-01T10:14:16","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Europe","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Subsaharanafrica-0.40.0-_1","2024-01-01T10:15:43","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Subsaharanafrica","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Southernafrica-0.40.0-_1","2024-01-01T10:17:09","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Southernafrica","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Northernafrica-0.40.0-_1","2024-01-01T10:19:02","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Northernafrica","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Westernafrica-0.40.0-_1","2024-01-01T10:19:13","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Westernafrica","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Easternafrica-0.40.0-_1","2024-01-01T10:20:29","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Easternafrica","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Middleafrica-0.40.0-_1","2024-01-01T10:20:40","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Middleafrica","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Africa-0.40.0-_1","2024-01-01T10:22:10","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Africa","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Southeastasia-0.40.0-_1","2024-01-01T10:23:36","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Southeastasia","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Southernasia-0.40.0-_1","2024-01-01T10:23:37","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Southernasia","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Westernasia-0.40.0-_1","2024-01-01T10:25:03","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Westernasia","Locale::CLDR - Data Package (  )"
"Bundle-Locale-CLDR-Easternasia-0.40.0-_1","2024-01-01T10:26:20","JGNI","backpan","released","v0.40.0","","Bundle-Locale-CLDR-Easternasia","Locale::CLDR - Data Package (  )"
